Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000217,2016-11-07,2016-11-07,,Martin Scorsese,Taxi Driver,1942-11-17
2,nm0000229,2016-11-07,2016-11-07,,Steven Spielberg,Schindler's List,1946-12-18
3,nm0000231,2016-11-07,2016-11-07,,Oliver Stone,JFK,1946-09-15
4,nm0000338,2016-11-07,2016-11-07,,Francis Ford Coppola,Apocalypse Now,1939-04-07
5,nm0000233,2016-11-07,2016-11-07,,Quentin Tarantino,Reservoir Dogs,1963-03-27
6,nm0000116,2016-11-07,2016-11-07,,James Cameron,Avatar,1954-08-16
7,nm0000386,2016-11-07,2016-11-07,,Roland Emmerich,Independence Day,1955-11-10
8,nm0000631,2016-11-07,2016-11-07,,Ridley Scott,The Martian,1937-11-30
9,nm0001716,2016-11-07,2016-11-07,,Tony Scott,Domino,1944-06-21
10,nm0000118,2016-11-07,2016-11-07,,John Carpenter,The Fog,1948-01-16
11,nm0587518,2016-11-07,2016-11-07,,John Milius,Conan the Barbarian,1944-04-11
12,nm0001060,2016-11-07,2016-11-07,,Chris Columbus,Harry Potter and the Sorcerer's Stone,1958-09-10
13,nm0718645,2016-11-07,2016-11-07,,Ivan Reitman,Up in the Air,1946-10-27
14,nm0001053,2016-11-07,2016-11-07,,Ethan Coen,The Ballad of Buster Scruggs,1957-09-21
15,nm0001054,2016-11-07,2016-11-07,,Joel Coen,The Ballad of Buster Scruggs,1954-11-29
16,nm0001149,2016-11-07,2016-11-07,,Richard Donner,Superman,1930-04-24
17,nm0000709,2016-11-07,2016-11-07,,Robert Zemeckis,Back to the Future,1951-05-14
18,nm0000814,2016-11-07,2016-11-07,,John G. Avildsen,Rocky,1935-12-21
19,nm0004675,2016-11-07,2016-11-07,,Phil Alden Robinson,Field of Dreams,1950-03-01
20,nm0001661,2016-11-07,2016-11-07,,Rob Reiner,All in the Family,1947-03-06
21,nm0001628,2016-11-07,2016-11-07,,Sydney Pollack,Tootsie,1934-07-01
22,nm0000824,2016-11-07,2016-11-07,,John Badham,WarGames,1939-08-25
23,nm0005363,2016-11-07,2016-11-07,,Guy Ritchie,Sherlock Holmes,1968-09-10
24,nm0001708,2016-11-07,2016-11-07,,Joel Schumacher,The Phantom of the Opera,1939-08-29
25,nm0796117,2016-11-07,2016-11-07,,M. Night Shyamalan,Lady in the Water,1970-08-06
26,nm0001880,2016-11-07,2016-11-07,,Edward Zwick,Thirtysomething,1952-10-08
27,nm0775447,2016-11-07,2016-11-07,,Barbet Schroeder,La virgen de los sicarios,1941-08-26
28,nm0001486,2016-11-07,2016-11-07,,Sidney Lumet,12 Angry Men,1924-06-25
29,nm0721817,2016-11-07,2016-11-07,,Kevin Reynolds,Waterworld,1952-01-17
30,nm0001047,2016-11-07,2016-11-07,,Michael Cimino,The Deer Hunter,1939-02-03
31,nm0000165,2016-11-07,2016-11-07,,Ron Howard,Arrested Development,1954-03-01
32,nm0000134,2016-11-07,2016-11-07,,Robert De Niro,Raging Bull,1943-08-17
33,nm0000126,2016-11-07,2016-11-07,,Kevin Costner,The Postman,1955-01-18
34,nm0001873,2016-11-07,2016-11-07,,Steven Zaillian,Searching for Bobby Fischer,1953-01-30
35,nm0000040,2016-11-07,2016-11-07,,Stanley Kubrick,2001: A Space Odyssey,1928-07-26
36,nm0000941,2016-11-07,2016-11-07,,Kathryn Bigelow,The Hurt Locker,1951-11-27
37,nm0782384,2016-11-07,2016-11-07,,Susan Seidelman,Desperately Seeking Susan,1952-12-11
38,nm0187769,2016-11-07,2016-11-07,,Charles Crichton,A Fish Called Wanda,1910-08-06
39,nm0601382,2016-11-07,2016-11-07,,John Moore,The Omen,
40,nm0000915,2016-11-07,2016-11-07,,Bruce Beresford,Driving Miss Daisy,1940-08-16
41,nm0000343,2016-11-07,2016-11-07,,David Cronenberg,The Fly,1943-03-15
42,nm0213139,2016-11-07,2016-11-07,,James Dearden,Fatal Attraction,1949-09-14
43,nm0001338,2016-11-07,2016-11-07,,Brian Helgeland,A Knight's Tale,1961-01-17
44,nm1597629,2016-11-07,2016-11-07,,Yaron Zilberman,Incitement,1966-10-02
45,nm0001508,2016-11-07,2016-11-07,,Penny Marshall,Laverne & Shirley,1943-10-15
46,nm0000965,2016-11-07,2016-11-07,,Danny Boyle,127 Hours,1956-10-20
47,nm0000614,2016-11-07,2016-11-07,,Alan Rickman,Die Hard,1946-02-21
48,nm0154312,2016-11-07,2016-11-07,,Pascal Chaumeil,L'arnacoeur,1961-02-09
49,nm0336620,2016-11-07,2016-11-07,,F. Gary Gray,Set It Off,1969-07-17
50,nm0935863,2016-11-07,2016-11-07,,Michael Winterbottom,A Mighty Heart,1961-03-29
51,nm0532235,2016-11-07,2016-11-07,,Seth MacFarlane,Family Guy,1973-10-26
52,nm1170855,2016-11-07,2016-11-07,,J.C. Chandor,A Most Violent Year,
53,nm0179221,2016-11-07,2016-11-07,,Anton Corbijn,Control,1955-05-20
54,nm0508208,2016-11-07,2016-11-07,,Fernando León de Aranoa,A Perfect Day,1968-05-26
55,nm0878638,2016-11-07,2016-11-07,,David Twohy,The Fugitive,1955-10-18
56,nm0001112,2016-11-07,2016-11-07,,Andrew Davis,The Fugitive,1946-11-21
57,nm0388198,2016-11-07,2016-11-07,,Mike Hodges,Flash Gordon,1932-07-29
58,nm0000142,2016-11-07,2016-11-07,,Clint Eastwood,Million Dollar Baby,1930-05-31
59,nm0000602,2016-11-07,2016-11-07,,Robert Redford,The Natural,1936-08-18
60,nm0004886,2016-11-07,2016-11-07,,Bill Duke,Predator,1943-02-26
61,nm0412465,2016-11-07,2016-11-07,,James Ivory,Call Me by Your Name,1928-06-07
62,nm0180912,2016-11-07,2016-11-07,,Michael Corrente,Federal Hill,1959-04-06
63,nm0000600,2016-11-07,2016-11-07,,Sam Raimi,Spider-Man,1959-10-23
64,nm1053530,2016-11-07,2016-11-07,,Tom Ford,A Single Man,1961-08-27
65,nm0602104,2016-11-07,2016-11-07,,Jocelyn Moorhouse,The Dressmaker,1960-09-04
66,nm0291082,2016-11-07,2016-11-07,,Scott Frank,Logan,1960-03-10
67,nm0000778,2016-11-07,2016-11-07,,Alfonso Arau,Three Amigos!,1932-01-11
68,nm0919363,2016-11-07,2016-11-07,,Chris Weitz,About a Boy,1969-11-30
69,nm0919369,2016-11-07,2016-11-07,,Paul Weitz,About a Boy,1965-11-19
70,nm0668247,2016-11-07,2016-11-07,,Alexander Payne,Nebraska,1961-02-10
71,nm0000907,2016-11-07,2016-11-07,,Richard Benjamin,Westworld,1938-05-22
72,nm0001402,2016-11-07,2016-11-07,,Terry Jones,Monty Python and the Holy Grail,1942-02-01
73,nm0193485,2016-11-07,2016-11-07,,Richard Curtis,Love Actually,1956-11-08
74,nm0001241,2016-11-07,2016-11-07,,Stephen Frears,Dangerous Liaisons,1941-06-20
75,nm0001723,2016-11-07,2016-11-07,,Tom Shadyac,The Nutty Professor,1958-12-11
76,nm0644203,2016-11-07,2016-11-07,,Steve Oedekerk,Kung Pow: Enter the Fist,1961-11-27
77,nm0062644,2016-11-07,2016-11-07,,Craig R. Baxley,Action Jackson,1949-10-20
78,nm0000431,2016-11-07,2016-11-07,,Taylor Hackford,Ray,1944-12-31
79,nm0476201,2016-11-07,2016-11-07,,Karyn Kusama,The Invitation,1968-03-21
80,nm0001165,2016-11-07,2016-11-07,,Charles S. Dutton,Alien³,1951-01-30
81,nm0711840,2016-11-07,2016-11-07,,Brett Ratner,Red Dragon,1969-03-28
82,nm0000583,2016-11-07,2016-11-07,,Wolfgang Petersen,Das Boot,1941-03-14
83,nm0000776,2016-11-07,2016-11-07,,Michael Apted,Rome,1941-02-10
84,nm0024622,2016-11-07,2016-11-07,,Alejandro Amenábar,The Others,1972-03-31
85,nm0006854,2016-11-07,2016-11-07,,Roger Spottiswoode,48 Hrs.,1945-01-05
86,nm0499724,2016-11-07,2016-11-07,,Michael Lehmann,Heathers,1957-03-30
87,nm0000228,2016-11-07,2016-11-07,,Kevin Spacey,L.A. Confidential,1959-07-26
88,nm0796124,2016-11-07,2016-11-07,,Charles Shyer,Alfie,1941-10-11
89,nm0314584,2016-11-07,2016-11-07,,Pietro Germi,Il ferroviere,1914-09-14
90,nm0000520,2016-11-07,2016-11-07,,Michael Mann,The Insider,1943-02-05
91,nm0000318,2016-11-07,2016-11-07,,Tim Burton,Edward Scissorhands,1958-08-25
92,nm0617042,2016-11-07,2016-11-07,,Mark Mylod,Succession,
93,nm0000466,2016-11-07,2016-11-07,,Jean-Pierre Jeunet,Un long dimanche de fiançailles,1953-09-03
94,nm0027271,2016-11-07,2016-11-07,,Paul W.S. Anderson,Resident Evil: Apocalypse,1965-03-04
95,nm0550881,2016-11-07,2016-11-07,,Frank Marshall,The Curious Case of Benjamin Button,1946-09-13
96,nm1285613,2016-11-07,2016-11-07,,Andrew Jarecki,Capturing the Friedmans,1963-03-24
97,nm0005348,2016-11-07,2016-11-07,,Carl Reiner,Ocean's Eleven,1922-03-20
98,nm0002080,2016-11-07,2016-11-07,,Bob Fosse,Cabaret,1927-06-23
99,nm0000455,2016-11-07,2016-11-07,,John Hughes,"Planes, Trains & Automobiles",1950-02-18
100,nm0000671,2016-11-07,2016-11-07,,Billy Bob Thornton,Sling Blade,1955-08-04
101,nm0001081,2016-11-07,2016-11-07,,Cameron Crowe,Almost Famous,1957-07-13
102,nm0240797,2016-11-07,2016-11-07,,Dennis Dugan,Happy Gilmore,1946-09-05
103,nm0093051,2016-11-07,2016-11-07,,Uwe Boll,Postal,1965-06-22
104,nm0848414,2016-11-07,2016-11-07,,Lee Tamahori,Once Were Warriors,1950-04-22
105,nm0357453,2016-11-07,2016-11-07,,John Hamburg,Little Fockers,1970-05-26
106,nm0619762,2016-11-07,2016-11-07,,Mira Nair,Monsoon Wedding,1957-10-15
107,nm0001024,2016-11-07,2016-11-07,,Nick Cassavetes,Face/Off,1959-05-21
108,nm0001232,2016-11-07,2016-11-07,,Milos Forman,One Flew Over the Cuckoo's Nest,1932-02-18
109,nm0000591,2016-11-07,2016-11-07,,Roman Polanski,Chinatown,1933-08-18
110,nm0005387,2016-11-07,2016-11-07,,Joe Roth,The Great Debaters,1948-06-13
111,nm0005222,2016-11-07,2016-11-07,,Sam Mendes,1917,1965-08-01
112,nm0001707,2016-11-07,2016-11-07,,Paul Schrader,First Reformed,1946-07-22
113,nm0000184,2016-11-07,2016-11-07,,George Lucas,Star Wars,1944-05-14
114,nm0443411,2016-11-07,2016-11-07,,Tony Kaye,Detachment,
115,nm0751102,2016-11-07,2016-11-07,,David O. Russell,American Hustle,1958-08-20
116,nm0562645,2016-11-07,2016-11-07,,Les Mayfield,Blue Streak,
117,nm0366004,2016-11-07,2016-11-07,,Mary Harron,American Psycho,1953-01-12
118,nm0813309,2016-11-07,2016-11-07,,Courtney Solomon,Dungeons & Dragons,1971-09-01
119,nm0000484,2016-11-07,2016-11-07,,John Landis,The Blues Brothers,1950-08-03
120,nm0909026,2016-11-07,2016-11-07,,Anthony Waller,An American Werewolf in Paris,1959-10-24
121,nm0002120,2016-11-07,2016-11-07,,Lasse Hallström,What's Eating Gilbert Grape,1946-06-02
